FNTotalDishonest,FNTotalDishonest_HL,FNTotalHonest,FNTotalHonest_HL,QPQ2HL0,QPQ2HL1,QPQ2TH0,QPQ2TH1,QPQHL,QPQTH,QPQversion,UtilityDishonest,UtilityDishonest_HL,UtilityHonest,UtilityHonest_HL,alpha,betafactor,clusters,numliars,playerperclusters,players,rounds
0.098,0.0,0.013854901960784314,0.015032679738562092,,,,,100,0.97,1,0.000343623660309707,3.114055305199358e-05,4.5489980002482354e-05,4.8368022477233584e-05,,1.2,4,1,256,256,1000
0.0,0.0,1.1764705882352942e-05,4.3572984749455335e-06,376.0,376.0,0.9845876653923058,0.9845876653923058,100,0.97,2,0.0008724605339806614,3.114055305199358e-05,2.2143583100096593e-05,2.658899166137953e-05,1.0,1.2,4,1,64,256,1000
0.003,0.0033333333333333335,0.011658823529411765,0.012095860566448801,,,,,100,0.97,1,2.741304897720509e-06,1.1668079423227241e-05,3.4429476558448186e-05,3.529287656277073e-05,,1.2,4,1,256,256,1000
0.0,0.0,3.9215686274509805e-05,0.0,376.0,376.0,0.9845876653923058,0.9845876653923058,100,0.97,2,2.741304897720509e-06,1.1668079423227241e-05,3.7222529927706666e-05,3.918388502702842e-05,1.0,1.2,4,1,64,256,1000
0.049,0.04111111111111111,0.011776470588235294,0.012396514161220043,,,,,100,0.97,1,0.0,7.707785635509593e-05,4.97397543644544e-05,5.305762411532938e-05,,1.2,4,1,256,256,1000
0.0,0.0,1.568627450980392e-05,0.0,376.0,376.0,0.9845876653923058,0.9845876653923058,100,0.97,2,0.0,1.3768020684367604e-05,2.759568348944332e-05,2.886881080810296e-05,1.0,1.2,4,1,64,256,1000
0.059,0.07888888888888888,0.011941176470588235,0.012366013071895424,,,,,100,0.97,1,7.296872722384329e-07,4.2040218786693065e-05,3.0441377714662243e-05,3.158258161076887e-05,,1.2,4,1,256,256,1000
0.003,0.0,0.002768627450980392,0.003058823529411765,376.0,376.0,0.9845876653923058,0.9845876653923058,100,0.97,2,7.296872722384329e-07,0.00010022830986325158,3.230455987936271e-05,3.372798523421704e-05,1.0,1.2,4,1,64,256,1000
0.03,0.0011111111111111111,0.01276078431372549,0.013581699346405228,,,,,100,0.97,1,4.007743792312501e-06,9.922139361200467e-06,3.424053951522852e-05,3.539204571522154e-05,,1.2,4,1,256,256,1000
0.0,0.0,0.0,0.0,376.0,376.0,0.9845876653923058,0.9845876653923058,100,0.97,2,4.007743792312501e-06,9.922139361200467e-06,2.9099114366187802e-05,2.4115617441768756e-05,1.0,1.2,4,1,64,256,1000
