players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.015059218094212753,0.014313277709122938,0.04034252297410192,0.07,,,0.015059218094212753,0.014313277709122938,0.04034252297410192,0.07
64,8,8,1,2,1.0,2000,1.05,100,0.97,400.0,0.9848857801796105,400.0,0.9848857801796105,0.01519319733237998,0.01650573694182068,0.02012531328320802,0.02894736842105263,0.02012531328320802,0.02894736842105263,0.01519319733237998,0.01650573694182068,0.02012531328320802,0.02894736842105263
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.015183595688717104,0.012467619348947247,0.03136173767752715,0.005263157894736842,,,0.015183595688717104,0.012467619348947247,0.03136173767752715,0.005263157894736842
64,8,8,1,2,1.0,2000,1.05,100,0.97,400.0,0.9848857801796105,400.0,0.9848857801796105,0.015287943238313837,0.012507246016968834,0.015355054302422724,0.022105263157894735,0.015355054302422724,0.022105263157894735,0.015287943238313837,0.012507246016968834,0.015355054302422724,0.022105263157894735
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.01514223271464916,0.01392907061026236,0.03112781954887218,0.022105263157894735,,,0.01514223271464916,0.01392907061026236,0.03112781954887218,0.022105263157894735
64,8,8,1,2,1.0,2000,1.05,100,0.97,400.0,0.9848857801796105,400.0,0.9848857801796105,0.015307429454921358,0.013953264938366367,0.012815371762740184,0.0005263157894736842,0.012815371762740184,0.0005263157894736842,0.015307429454921358,0.013953264938366367,0.012815371762740184,0.0005263157894736842
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.015189857003073124,0.01391669489779151,0.027878028404344193,0.016842105263157894,,,0.015189857003073124,0.01391669489779151,0.027878028404344193,0.016842105263157894
64,8,8,1,2,1.0,2000,1.05,100,0.97,400.0,0.9848857801796105,400.0,0.9848857801796105,0.015288786861862956,0.013393809582528159,0.020367585630743524,0.0,0.020242272347535506,0.0,0.015288786861862956,0.013393809582528159,0.020367585630743524,0.0
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.015158897717800388,0.014516727113899423,0.024578111946532998,0.0036842105263157894,,,0.015158897717800388,0.014516727113899423,0.024578111946532998,0.0036842105263157894
64,8,8,1,2,1.0,2000,1.05,100,0.97,400.0,0.9848857801796105,400.0,0.9848857801796105,0.015244096530876302,0.01349074465651942,0.0187468671679198,0.0,0.0187468671679198,0.0,0.015244096530876302,0.01349074465651942,0.0187468671679198,0.0
64,8,64,1,1,,2000,1.05,100,0.97,,,,,0.015215392039024412,0.012612523753416437,0.033767752715121134,0.04052631578947368,,,0.015215392039024412,0.012612523753416437,0.033767752715121134,0.04052631578947368
