players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003093441260893226,6.557301254593051e-05,0.0009523809523809524,0.0,0.0003171202767579413,6.917642625820644e-05,0.0009523809523809524,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00031780558589298506,0.00010305581119492647,0.011111111111111112,0.025,0.00032780201264756835,0.00010949164189827288,0.01164021164021164,0.027777777777777776
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002926812352720304,0.0009485102375433541,9.523809523809524e-05,0.0,0.00029641268167230527,0.0010488854489520813,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003390417480358426,0.00023762539396877057,0.011174603174603174,0.011,0.00034014008540114374,0.0002640282155208562,0.011428571428571429,0.012222222222222223
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003152037925728504,0.00018718394385980574,0.0002698412698412698,0.0,0.00031269406239010613,0.0002079821598442286,0.00021164021164021165,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00033665649179905017,8.298003151217226e-05,0.01065079365079365,0.042,0.00033168860107713366,7.883271080306225e-05,0.011199294532627866,0.04666666666666667
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003080124228396727,7.819644173286666e-05,0.0,0.0,0.0003152596660258146,7.351761104827825e-05,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00032682484022972843,6.678104069661761e-05,0.012857142857142857,0.025,0.0003337859205638772,6.057002573118907e-05,0.013421516754850088,0.027777777777777776
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003377082295497625,6.678104069661761e-05,0.011174603174603174,0.0,0.00032019957777660137,6.057002573118907e-05,0.012292768959435625,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003657861355422261,0.00022493822293976907,0.00919047619047619,0.031,0.00037879636200247225,0.00022112501831185886,0.009735449735449736,0.03111111111111111
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.000325931762874735,0.0002468760180868577,4.761904761904762e-05,0.0,0.0003346585580836381,0.00024550034625306843,5.291005291005291e-05,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003568960702114085,0.0004945943259719423,0.012555555555555556,0.023,0.00036690735685109455,0.0005452153162407446,0.013315696649029983,0.025555555555555557
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002985505813549521,9.25495271816047e-05,0.00044444444444444447,0.0,0.00029783483302289147,9.849887314036946e-05,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0002782205203113536,0.0001589868238021005,0.010031746031746032,0.0,0.0002824002945356046,0.00016121443286857743,0.010405643738977073,0.0
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002537521985525703,0.0001589868238021005,0.0,0.0,0.0002557958468525321,0.00016121443286857743,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003038277065987154,0.00010903383329770112,0.0116984126984127,0.009,0.0002905988084563788,9.011583189331904e-05,0.011746031746031746,0.01
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00024760736149127344,0.000207937889026094,0.0003492063492063492,0.003,0.00023260317025521063,0.00014723351199117507,0.00037037037037037035,0.0033333333333333335
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003556701310398107,3.886482449724304e-05,0.013349206349206348,0.034,0.0003624500318050096,4.318313833027005e-05,0.014215167548500883,0.005555555555555556
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00025812067771407114,0.0009251516807777536,0.00014285714285714287,0.0,0.00025607076067446613,0.0010279463119752818,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00029130231608648637,0.0004877621329781293,0.009253968253968254,0.03,0.0002943618412670717,0.0005419579255312547,0.009841269841269842,0.03333333333333333
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002509704593874931,8.261180861738815e-05,0.0009841269841269842,0.0,0.00024984274590981206,7.121111940231436e-05,0.0007407407407407407,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.000320630517097772,9.924156655830119e-05,0.011841269841269842,0.012,0.0003298279136406642,0.00010956847595710349,0.012134038800705467,0.011111111111111112
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003173784474875112,0.00018884612795035048,0.0006031746031746032,0.0,0.0003197134377189537,0.00020912909972604717,0.0006525573192239859,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003350097314896968,7.126078435230688e-05,0.010142857142857143,0.004,0.00032987805869578204,7.841232114448279e-05,0.010652557319223986,0.0044444444444444444
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00025382506472287843,7.126078435230688e-05,0.0007619047619047619,0.0,0.00025003016681735706,7.841232114448279e-05,0.0004409171075837742,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00032947086240698995,4.013641744787644e-05,0.012222222222222223,0.007,0.00034114014075387305,2.500511568265572e-05,0.012486772486772487,0.0077777777777777776
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002671402046857277,0.0016883070720339452,0.0038253968253968255,0.0,0.0002720540008418641,0.00185630584300051,0.004126984126984127,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00036714523948413465,4.969872671410269e-05,0.014253968253968253,0.027,0.00035439654673421735,5.52208074601141e-05,0.014021164021164021,0.03
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003489073267651698,0.000148710171696266,0.012158730158730159,0.0,0.00035875662304082033,0.0001652335241069622,0.01291005291005291,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0002910501131754907,0.00015905825249606532,0.01173015873015873,0.046,0.00027819125342455105,0.00017673139166229479,0.011693121693121693,0.051111111111111114
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00026094163281280145,0.0007312124609237415,0.00031746031746031746,0.0,0.00026210551188060485,0.0008124582899152683,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003247155247937425,6.704279997591156e-05,0.01453968253968254,0.003,0.0003327258273712327,5.839377198775932e-05,0.015326278659611992,0.0033333333333333335
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003421147984784422,7.466375038505069e-05,0.011507936507936509,0.0,0.0003480714180237404,6.686149466458056e-05,0.011481481481481481,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00032085527219631853,0.00011316505263810417,0.00980952380952381,0.002,0.0003261277884698543,9.029380565691026e-05,0.00962962962962963,0.0022222222222222222
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00023933310003311994,0.00011316505263810417,6.349206349206349e-05,0.0,0.00023409908610616163,9.029380565691026e-05,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00031540340421238455,0.0017463315737515992,0.011365079365079364,0.032,0.00032343626217512435,0.0019370980049625186,0.011569664902998236,0.035555555555555556
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00026444021373243475,0.00011413727724196865,0.0019047619047619048,0.0,0.00026830607603494944,0.00012354878661848453,0.0019929453262786598,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003401219368118601,0.00017215565440618886,0.013952380952380952,0.027,0.0003511299528160052,0.00019128406045132096,0.014514991181657848,0.028888888888888888
