players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.0004656213499321529,0.0009724297288022796,0.027182539682539683,0.159,0.00046604073188201097,0.0007816121064899605,0.029841269841269842,0.0661111111111111
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.0003991757845093388,0.00012882791331153353,0.013738095238095238,0.103,0.00039216778616933104,0.00022929312674098342,0.016005291005291005,0.0
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.0005097454300564663,0.0002225959842738328,0.03188888888888889,0.0285,0.0005082231047055368,0.00022323616354779117,0.03228395061728395,0.023333333333333334
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.00048570961561001774,0.000997450315361367,0.025492063492063493,0.0,0.0005059262970818988,0.0008930465714095893,0.02708994708994709,0.0
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.0004608749354419382,0.0003736951596350241,0.03464285714285714,0.023,0.00047702573899046567,0.0003068907837721479,0.03620811287477954,0.006666666666666667
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.0003294714801390426,0.0012157380795072273,0.002753968253968254,0.0175,0.00034529224270816517,0.00021257523210431166,0.002654320987654321,0.0
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.000514755716620815,0.0004111229696052462,0.02908730158730159,0.0605,0.0005056381534580663,0.000845378769372939,0.029947089947089948,0.02722222222222222
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.0003126169785502019,0.00015319065869070554,0.0006349206349206349,0.0,0.00031294312085807234,0.00016136236293674301,0.0004850088183421517,0.0011111111111111111
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.0004951119625868508,0.0002459624303440006,0.03442063492063492,0.02,0.0004805497413932388,0.0008543252412837036,0.03531746031746032,0.021111111111111112
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.0003786571494168779,0.0005657824975835945,0.00019047619047619048,0.0,0.0003839403004648428,0.00020430335783520344,0.0,0.0
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.00046668202122630023,0.0001882903281503167,0.032912698412698414,0.029,0.0004799721960051343,0.000269050196878318,0.034444444444444444,0.021666666666666667
64,8,8,1,2,1.0,2000,1.05,200,0.9210997249820564,800.0,0.9512203205812122,800.0,0.9512203205812122,0.0003894597767087414,0.0006088169706954599,0.009976190476190477,0.0005,0.0004024699161680735,0.00017134979296794231,0.009444444444444445,0.08944444444444444
64,8,64,1,1,,2000,1.05,200,0.9210997249820564,,,,,0.00047279907431968613,0.0003607476934097274,0.031103174603174605,0.0755,0.0004938720074806864,0.00020739685769506614,0.032557319223985894,0.022222222222222223
