players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015133386815694821,,0.030814144736842106,,,,0.015133386815694821,,0.030814144736842106,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.01524853064864791,,0.019802631578947367,,0.01971217105263158,,0.01524853064864791,,0.019802631578947367,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015184273031163351,,0.027179276315789473,,,,0.015184273031163351,,0.027179276315789473,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015235587739383931,,0.017171052631578948,,0.01647203947368421,,0.015235587739383931,,0.017171052631578948,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015216623456695515,,0.024490131578947368,,,,0.015216623456695515,,0.024490131578947368,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015341310186364488,,0.009333881578947368,,0.009333881578947368,,0.015341310186364488,,0.009333881578947368,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015097448015644452,,0.03105263157894737,,,,0.015097448015644452,,0.03105263157894737,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.01526817559367957,,0.01634046052631579,,0.01622532894736842,,0.01526817559367957,,0.01634046052631579,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015222883121291497,,0.02643092105263158,,,,0.015222883121291497,,0.02643092105263158,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.01525202975140047,,0.02602796052631579,,0.011875,,0.01525202975140047,,0.02602796052631579,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015127090766578347,,0.03165296052631579,,,,0.015127090766578347,,0.03165296052631579,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.0152306021204369,,0.018832236842105263,,0.018832236842105263,,0.0152306021204369,,0.018832236842105263,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.01516500151169505,,0.03189967105263158,,,,0.01516500151169505,,0.03189967105263158,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015210449659608594,,0.03024671052631579,,0.015115131578947368,,0.015210449659608594,,0.03024671052631579,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015197378457002406,,0.02558388157894737,,,,0.015197378457002406,,0.02558388157894737,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.01528196794911673,,0.013445723684210526,,0.013050986842105263,,0.01528196794911673,,0.013445723684210526,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015132350907995416,,0.031669407894736844,,,,0.015132350907995416,,0.031669407894736844,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015323873057054118,,0.011356907894736841,,0.010583881578947369,,0.015323873057054118,,0.011356907894736841,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015179275658399365,,0.026669407894736843,,,,0.015179275658399365,,0.026669407894736843,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015236774463807404,,0.015674342105263157,,0.015674342105263157,,0.015236774463807404,,0.015674342105263157,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015117821006040923,,0.02879111842105263,,,,0.015117821006040923,,0.02879111842105263,
64,16,4,0,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015283681515586017,,0.013223684210526316,,0.013009868421052631,,0.015283681515586017,,0.013223684210526316,
64,16,64,0,1,,2000,1.2,100,0.97,,,,,0.015205767078608639,,0.029342105263157895,,,,0.015205767078608639,,0.029342105263157895,
