players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015301626815062397,0.008236103384959989,0.025789473684210525,0.24473684210526317,,,0.015301626815062397,0.008236103384959989,0.025789473684210525,0.24473684210526317
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015394063622180562,0.0073198145221509605,0.010100250626566417,0.6589473684210526,0.010091896407685881,0.6589473684210526,0.015394063622180562,0.0073198145221509605,0.010100250626566417,0.6589473684210526
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015123795028146555,0.01902880864348507,0.02982456140350877,0.10526315789473684,,,0.015123795028146555,0.01902880864348507,0.02982456140350877,0.10526315789473684
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015314006684535118,0.01419607047212905,0.010802005012531328,0.41578947368421054,0.010785296574770259,0.41578947368421054,0.015314006684535118,0.01419607047212905,0.010802005012531328,0.41578947368421054
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015065629181462863,0.01892645084418377,0.028663324979114453,0.17157894736842105,,,0.015065629181462863,0.01892645084418377,0.028663324979114453,0.17157894736842105
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015216751897552392,0.013531496160728415,0.015229741019214704,0.5163157894736842,0.015221386800334169,0.5163157894736842,0.015216751897552392,0.013531496160728415,0.015229741019214704,0.5163157894736842
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015235589524407733,0.011616082644818391,0.027059314954051797,0.3121052631578947,,,0.015235589524407733,0.011616082644818391,0.027059314954051797,0.3121052631578947
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015313313602482026,0.010380294276143419,0.013868003341687552,0.5705263157894737,0.013767752715121135,0.5705263157894737,0.015313313602482026,0.010380294276143419,0.013868003341687552,0.5705263157894737
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015009350270224885,0.021176970661418878,0.032639933166248955,0.13210526315789473,,,0.015009350270224885,0.021176970661418878,0.032639933166248955,0.13210526315789473
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015210353902882003,0.018621956362925945,0.014703425229741019,0.30736842105263157,0.014594820384294068,0.30736842105263157,0.015210353902882003,0.018621956362925945,0.014703425229741019,0.30736842105263157
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015055905909969776,0.015136213314253478,0.02913951545530493,0.28526315789473683,,,0.015055905909969776,0.015136213314253478,0.02913951545530493,0.28526315789473683
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015126102937918714,0.01214863059773932,0.02976608187134503,0.6436842105263157,0.015889724310776943,0.6436842105263157,0.015126102937918714,0.01214863059773932,0.02976608187134503,0.6436842105263157
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015146478292882766,0.014645753168269972,0.03371762740183793,0.3452631578947368,,,0.015146478292882766,0.014645753168269972,0.03371762740183793,0.3452631578947368
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015181178744634451,0.013376901517898863,0.01675856307435255,0.8331578947368421,0.01675856307435255,0.8331578947368421,0.015181178744634451,0.013376901517898863,0.01675856307435255,0.8331578947368421
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015145572332974224,0.014174144397868767,0.03409356725146199,0.22105263157894736,,,0.015145572332974224,0.014174144397868767,0.03409356725146199,0.22105263157894736
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015009617859856723,0.01670716375525731,0.03581453634085213,0.46,0.02177109440267335,0.46,0.015009617859856723,0.01670716375525731,0.03581453634085213,0.46
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015142488760321706,0.020025071025303463,0.03235588972431078,0.06947368421052631,,,0.015142488760321706,0.020025071025303463,0.03235588972431078,0.06947368421052631
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015209097853326612,0.017936335972635657,0.020785296574770257,0.23157894736842105,0.02073517126148705,0.23157894736842105,0.015209097853326612,0.017936335972635657,0.020785296574770257,0.23157894736842105
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015200280308397636,0.013509782269598744,0.02772765246449457,0.13421052631578947,,,0.015200280308397636,0.013509782269598744,0.02772765246449457,0.13421052631578947
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015228773794932995,0.012220521481891263,0.016182121971595655,0.3894736842105263,0.015380116959064327,0.3873684210526316,0.015228773794932995,0.012220521481891263,0.016182121971595655,0.3894736842105263
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015104202002603968,0.015021539296051822,0.02964076858813701,0.18157894736842106,,,0.015104202002603968,0.015021539296051822,0.02964076858813701,0.18157894736842106
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015285772104247468,0.010316151516033312,0.02409356725146199,0.4494736842105263,0.008705096073517125,0.4494736842105263,0.015285772104247468,0.010316151516033312,0.02409356725146199,0.4494736842105263
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015106764776568202,0.015914344610302313,0.028596491228070176,0.26421052631578945,,,0.015106764776568202,0.015914344610302313,0.028596491228070176,0.26421052631578945
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015242220835563421,0.01282869154921414,0.020342522974101922,0.5094736842105263,0.020208855472013367,0.5094736842105263,0.015242220835563421,0.01282869154921414,0.020342522974101922,0.5094736842105263
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015068514319765506,0.01736291183679032,0.03306599832915622,0.14421052631578948,,,0.015068514319765506,0.01736291183679032,0.03306599832915622,0.14421052631578948
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015127390367780094,0.015770853934740505,0.03759398496240601,0.31894736842105265,0.02218045112781955,0.31894736842105265,0.015127390367780094,0.015770853934740505,0.03759398496240601,0.31894736842105265
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.01524234640482422,0.011527449379628331,0.02879699248120301,0.27842105263157896,,,0.01524234640482422,0.011527449379628331,0.02879699248120301,0.27842105263157896
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.01525596866417344,0.012273871180750759,0.014319131161236424,0.5573684210526316,0.013976608187134502,0.5573684210526316,0.01525596866417344,0.012273871180750759,0.014319131161236424,0.5573684210526316
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015174206175847757,0.01431042943529359,0.029147869674185464,0.2942105263157895,,,0.015174206175847757,0.01431042943529359,0.029147869674185464,0.2942105263157895
64,16,4,1,2,1.0,2000,1.2,100,0.97,320.0,0.9848857801796105,320.0,0.9848857801796105,0.015206107036290092,0.013639392827453401,0.012297410192147034,0.6542105263157895,0.011812865497076023,0.6542105263157895,0.015206107036290092,0.013639392827453401,0.012297410192147034,0.6542105263157895
64,16,64,1,1,,2000,1.2,100,0.97,,,,,0.015099392601421851,0.015252337388148452,0.032255639097744364,0.25157894736842107,,,0.015099392601421851,0.015252337388148452,0.032255639097744364,0.25157894736842107
