players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02983624278656887,,0.028996710526315788,,,,0.02983624278656887,,0.028996710526315788,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.029985305930044778,,0.02287828947368421,,0.020855263157894738,,0.029985305930044778,,0.02287828947368421,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02996408259117829,,0.025345394736842105,,,,0.02996408259117829,,0.025345394736842105,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.0301362118680183,,0.012055921052631579,,0.012055921052631579,,0.0301362118680183,,0.012055921052631579,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02984653598962084,,0.03261513157894737,,,,0.02984653598962084,,0.03261513157894737,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.02982671906050979,,0.04784539473684211,,0.01773026315789474,,0.02982671906050979,,0.04784539473684211,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02974977500116165,,0.03333881578947368,,,,0.02974977500116165,,0.03333881578947368,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.030028802998632934,,0.017039473684210528,,0.017039473684210528,,0.030028802998632934,,0.017039473684210528,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02993463906584486,,0.026003289473684212,,,,0.02993463906584486,,0.026003289473684212,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.030108024913027626,,0.012845394736842106,,0.012845394736842106,,0.030108024913027626,,0.012845394736842106,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.029859033120459257,,0.03268092105263158,,,,0.029859033120459257,,0.03268092105263158,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.030088511681630046,,0.01450657894736842,,0.014490131578947369,,0.030088511681630046,,0.01450657894736842,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02977367647809873,,0.030148026315789472,,,,0.02977367647809873,,0.030148026315789472,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.03021372952257175,,0.012532894736842106,,0.012532894736842106,,0.03021372952257175,,0.012532894736842106,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.029878222736277885,,0.026348684210526316,,,,0.029878222736277885,,0.026348684210526316,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.03019781786968521,,0.013108552631578948,,0.013108552631578948,,0.03019781786968521,,0.013108552631578948,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.029978402760351616,,0.027467105263157893,,,,0.029978402760351616,,0.027467105263157893,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.02930753705759042,,0.07506578947368421,,0.016414473684210527,,0.02930753705759042,,0.07506578947368421,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.029810241204660814,,0.029720394736842105,,,,0.029810241204660814,,0.029720394736842105,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.03014060472192669,,0.009901315789473683,,0.009901315789473683,,0.03014060472192669,,0.009901315789473683,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.02980447885008457,,0.030592105263157896,,,,0.02980447885008457,,0.030592105263157896,
32,8,4,0,2,1.0,2000,1.2,100,0.97,266.0,0.9848857801796105,266.0,0.9848857801796105,0.03021011129177746,,0.007631578947368421,,0.007631578947368421,,0.03021011129177746,,0.007631578947368421,
32,8,32,0,1,,2000,1.2,100,0.97,,,,,0.029786031085552386,,0.02730263157894737,,,,0.029786031085552386,,0.02730263157894737,
