players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.00035622786334269077,0.0007133256006053006,0.014753968253968254,0.039,0.0003632088822911477,0.0002990684888110661,0.01626984126984127,0.0016666666666666668
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.0002863151415149055,0.0002584114642878884,1.5873015873015872e-05,0.0,0.00027463071896810493,0.00030178640055475214,8.818342151675484e-06,0.0
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.00033110610884762613,0.00014595159455383077,0.018753968253968255,0.0,0.00033724038867575395,0.0002586516515584307,0.01962962962962963,0.0
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.00030882613849004566,0.0001610494103997207,3.1746031746031745e-05,0.0,0.0003130087612555268,0.0002765805753083778,8.818342151675484e-06,0.0
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.0003472920773630252,0.0001088731185340483,0.014888888888888889,0.0005,0.00035308908870770395,0.00016890987380086857,0.01564373897707231,0.0038888888888888888
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.00030192537653046396,0.0001088731185340483,0.00044444444444444447,0.0,0.00030604141731040824,0.00016797546977168694,0.00037037037037037035,0.0044444444444444444
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.00033255009682090007,0.00024368668804307348,0.015126984126984128,0.079,0.0003344479107658515,0.000182872765911959,0.016666666666666666,0.0038888888888888888
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.00031150865525959317,0.001822918266421037,0.002261904761904762,0.017,0.00032540570121721853,0.0005026660127892724,0.002583774250440917,0.0
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.0003718026008993366,0.0002588071442550382,0.012976190476190476,0.0085,0.00037783269788449204,0.00026895878473288243,0.013474426807760141,0.009444444444444445
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.00028938905923857024,0.00027812937595475627,0.0006428571428571428,0.0005,0.0002931850189323171,0.0003090326399497292,0.00030864197530864197,0.0005555555555555556
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.00036666195247884954,0.00010415781447539335,0.013277777777777777,0.0035,0.0003715367261074404,0.00036909459428564965,0.014056437389770722,0.006111111111111111
64,8,8,1,2,1.0,2000,1.05,200,0.9607783157958886,800.0,0.9759475239000507,800.0,0.9759475239000507,0.0003277175345162943,0.0013905385827692757,0.014246031746031746,0.0055,0.0003532093795687313,0.00023652484648790267,0.015617283950617284,0.0
64,8,64,1,1,,2000,1.05,200,0.9607783157958886,,,,,0.00035217181692386235,0.00017351775415659092,0.01685714285714286,0.0025,0.0003269320321257779,0.000648929227240879,0.017336860670194004,0.03333333333333333
