players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.0004934345063882604,0.00010205487190833639,0.027253968253968253,0.009,0.0005194128222282949,0.000172580204349509,0.02887125220458554,0.0044444444444444444
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.00031069050589957274,0.00014910476528630755,0.001634920634920635,0.0,0.0003073547883896112,0.00021543635512819,0.000599647266313933,0.0
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.0005069272809142808,0.00010113109341356019,0.018063492063492063,0.005,0.00048522490367321745,0.0013964410181558794,0.018500881834215166,0.03111111111111111
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.0003307978908651866,0.0001006609072509822,0.0015555555555555555,0.003,0.0003385959172171423,0.0003800519487350736,0.001146384479717813,0.0
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.00041308067544925916,0.0001786331929207372,0.020603174603174602,0.029,0.0003908784257093091,0.00034385364644277624,0.02165784832451499,0.0
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.0003039933368702045,0.00028007182971166646,0.00226984126984127,0.0,0.00029852972268716067,0.00031460850970341567,0.0019576719576719576,0.0
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.00040107347433620324,0.00020678218796053337,0.018555555555555554,0.003,0.00041558963842414857,0.00021208833607940287,0.019576719576719578,0.0011111111111111111
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.00029110850136129573,0.00012559348385077373,0.0011587301587301588,0.0,0.0002720208046835655,0.00023524210014376804,5.291005291005291e-05,0.0
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.0003617408023126913,0.0001494633201685095,0.01876190476190476,0.007,0.00037699329383498114,0.00021017344860061742,0.01959435626102293,0.01
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.0003634130164323493,0.00012187845032149946,0.0008253968253968254,0.001,0.0003247675033654139,0.00018497689849638165,0.0007054673721340388,0.0033333333333333335
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.00038982256586109806,0.0010972065632810061,0.014333333333333333,0.039,0.00042178691387063764,0.00011505165237707553,0.015132275132275132,0.022222222222222223
64,8,8,1,2,1.0,1000,1.05,100,0.95,400.0,0.9692708215318152,400.0,0.9692708215318152,0.0002867309304521143,0.000118202074808331,0.002984126984126984,0.007,0.00028622632407118687,0.00012042572736926734,0.002328042328042328,0.0
64,8,64,1,1,,1000,1.05,100,0.95,,,,,0.00039060527573343644,0.00016430575602912923,0.02204761904761905,0.016,0.0003981078672273005,0.00015323401896987838,0.022768959435626103,0.03
