players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014680892496917978,0.01690268239440461,0.09593984962406014,0.06842105263157895,,,0.014680892496917978,0.01690268239440461,0.09593984962406014,0.06842105263157895
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015152331613990948,0.014061598529721626,0.04654135338345865,0.04842105263157895,0.04537176274018379,0.04842105263157895,0.015152331613990948,0.014061598529721626,0.04654135338345865,0.04842105263157895
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014462057161707481,0.016277438911503704,0.10030075187969925,0.17578947368421052,,,0.014462057161707481,0.016277438911503704,0.10030075187969925,0.17578947368421052
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015017351773123785,0.016266357000058882,0.04817878028404344,0.21473684210526317,0.046173767752715124,0.21473684210526317,0.015017351773123785,0.016266357000058882,0.04817878028404344,0.21473684210526317
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014603107988903864,0.011271535014776912,0.10411027568922306,0.1036842105263158,,,0.014603107988903864,0.011271535014776912,0.10411027568922306,0.1036842105263158
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014967701020161704,0.010772341398131128,0.06234753550543024,0.11842105263157894,0.06149540517961571,0.11842105263157894,0.014967701020161704,0.010772341398131128,0.06234753550543024,0.11842105263157894
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014786602234163672,0.009353063408784357,0.09405179615705932,0.09210526315789473,,,0.014786602234163672,0.009353063408784357,0.09405179615705932,0.09210526315789473
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015187350514298675,0.009790956229827083,0.041687552213868,0.019473684210526317,0.04139515455304929,0.017894736842105262,0.015187350514298675,0.009790956229827083,0.041687552213868,0.019473684210526317
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01457743658567727,0.019491194762768355,0.09368421052631579,0.16,,,0.01457743658567727,0.019491194762768355,0.09368421052631579,0.16
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015078890525967155,0.01991593373623849,0.027786131996658314,0.07105263157894737,0.027744360902255637,0.07105263157894737,0.015078890525967155,0.01991593373623849,0.027786131996658314,0.07105263157894737
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014612044279125623,0.014042567873468591,0.10442773600668337,0.061052631578947365,,,0.014612044279125623,0.014042567873468591,0.10442773600668337,0.061052631578947365
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014961816062599454,0.013073690557292683,0.05633249791144528,0.16157894736842104,0.05584795321637427,0.16157894736842104,0.014961816062599454,0.013073690557292683,0.05633249791144528,0.16157894736842104
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014547536869521788,0.016930174735621115,0.1056140350877193,0.10473684210526316,,,0.014547536869521788,0.016930174735621115,0.1056140350877193,0.10473684210526316
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014992999138973338,0.01617130188895702,0.058939014202172096,0.16052631578947368,0.04211361737677527,0.16052631578947368,0.014992999138973338,0.01617130188895702,0.058939014202172096,0.16052631578947368
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014559960651400146,0.017478185779377178,0.11204678362573099,0.12263157894736842,,,0.014559960651400146,0.017478185779377178,0.11204678362573099,0.12263157894736842
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014757290182816421,0.02017364757586619,0.07680033416875522,0.0005263157894736842,0.06314118629908104,0.0005263157894736842,0.014757290182816421,0.02017364757586619,0.07680033416875522,0.0005263157894736842
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.0146856718359256,0.015403148274327757,0.09587301587301587,0.11052631578947368,,,0.0146856718359256,0.015403148274327757,0.09587301587301587,0.11052631578947368
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015038725590707295,0.017229565946474214,0.06015037593984962,0.1394736842105263,0.04579782790309106,0.1394736842105263,0.015038725590707295,0.017229565946474214,0.06015037593984962,0.1394736842105263
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014593339049639926,0.014198785125059826,0.09953216374269006,0.19736842105263158,,,0.014593339049639926,0.014198785125059826,0.09953216374269006,0.19736842105263158
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014961764851159704,0.013844552316864182,0.05718462823725982,0.21421052631578946,0.050384294068504594,0.21421052631578946,0.014961764851159704,0.013844552316864182,0.05718462823725982,0.21421052631578946
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01464393455734528,0.013661180012302007,0.10237259816207185,0.13052631578947368,,,0.01464393455734528,0.013661180012302007,0.10237259816207185,0.13052631578947368
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014928404451631473,0.015755937018897083,0.05669172932330827,0.23105263157894737,0.05656641604010025,0.23105263157894737,0.014928404451631473,0.015755937018897083,0.05669172932330827,0.23105263157894737
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014612562357866928,0.015580746931254151,0.10118629908103592,0.15368421052631578,,,0.014612562357866928,0.015580746931254151,0.10118629908103592,0.15368421052631578
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.01487770520334329,0.011035892751378394,0.05719298245614035,0.41736842105263156,0.057059314954051796,0.41736842105263156,0.01487770520334329,0.011035892751378394,0.05719298245614035,0.41736842105263156
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014512755857469991,0.018773642281933362,0.10469507101086048,0.08578947368421053,,,0.014512755857469991,0.018773642281933362,0.10469507101086048,0.08578947368421053
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014873897201153346,0.018547858711868478,0.061829573934837095,0.18421052631578946,0.05218045112781955,0.18421052631578946,0.014873897201153346,0.018547858711868478,0.061829573934837095,0.18421052631578946
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01454548395143118,0.016286453120142496,0.1023391812865497,0.10736842105263159,,,0.01454548395143118,0.016286453120142496,0.1023391812865497,0.10736842105263159
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015043964018741654,0.015562583081359315,0.05178780284043442,0.02631578947368421,0.04965747702589808,0.02631578947368421,0.015043964018741654,0.015562583081359315,0.05178780284043442,0.02631578947368421
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014642376975077864,0.013655522671299615,0.09617376775271512,0.16736842105263158,,,0.014642376975077864,0.013655522671299615,0.09617376775271512,0.16736842105263158
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015058534665694576,0.011837921577381883,0.05014202172096909,0.21736842105263157,0.05000835421888054,0.21736842105263157,0.015058534665694576,0.011837921577381883,0.05014202172096909,0.21736842105263157
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014603907149395618,0.01193993339438111,0.10731829573934837,0.08578947368421053,,,0.014603907149395618,0.01193993339438111,0.10731829573934837,0.08578947368421053
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.01473336078731164,0.01907233924005089,0.08115288220551378,0.030526315789473683,0.05269005847953216,0.030526315789473683,0.01473336078731164,0.01907233924005089,0.08115288220551378,0.030526315789473683
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014608910465102777,0.01597478800548678,0.09442773600668337,0.10052631578947369,,,0.014608910465102777,0.01597478800548678,0.09442773600668337,0.10052631578947369
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014966670408950842,0.01857669639443766,0.05421888053467001,0.0,0.035889724310776944,0.0,0.014966670408950842,0.01857669639443766,0.05421888053467001,0.0
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01447013754424355,0.01891926876961887,0.10501253132832081,0.07947368421052632,,,0.01447013754424355,0.01891926876961887,0.10501253132832081,0.07947368421052632
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014903205268228258,0.0213583028370095,0.04556390977443609,0.12052631578947369,0.04522138680033417,0.12052631578947369,0.014903205268228258,0.0213583028370095,0.04556390977443609,0.12052631578947369
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014451814995881806,0.018428838049872907,0.10765246449456976,0.18052631578947367,,,0.014451814995881806,0.018428838049872907,0.10765246449456976,0.18052631578947367
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.01499083695197896,0.016297618758651537,0.05170426065162907,0.41842105263157897,0.04984126984126984,0.41842105263157897,0.01499083695197896,0.016297618758651537,0.05170426065162907,0.41842105263157897
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014563740648175628,0.01527606232321528,0.10757727652464495,0.09052631578947369,,,0.014563740648175628,0.01527606232321528,0.10757727652464495,0.09052631578947369
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014910089949746541,0.012405643729235544,0.06390977443609022,0.1463157894736842,0.05554720133667502,0.06210526315789474,0.014910089949746541,0.012405643729235544,0.06390977443609022,0.1463157894736842
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014548387704768436,0.015260337525694348,0.10015037593984963,0.07263157894736842,,,0.014548387704768436,0.015260337525694348,0.10015037593984963,0.07263157894736842
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014901032584194599,0.014398887573629632,0.07345029239766082,0.008947368421052631,0.04156223893065998,0.008947368421052631,0.014901032584194599,0.014398887573629632,0.07345029239766082,0.008947368421052631
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014657055252311903,0.01488999839024776,0.10082706766917293,0.19263157894736843,,,0.014657055252311903,0.01488999839024776,0.10082706766917293,0.19263157894736843
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.01500174869410955,0.016400686225285222,0.05370091896407686,0.18947368421052632,0.048579782790309105,0.18947368421052632,0.01500174869410955,0.016400686225285222,0.05370091896407686,0.18947368421052632
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01468479960796564,0.013681022571332694,0.09702589807852965,0.06421052631578947,,,0.01468479960796564,0.013681022571332694,0.09702589807852965,0.06421052631578947
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015024562562376631,0.015530184445748529,0.05637426900584795,0.01,0.04767752715121136,0.01,0.015024562562376631,0.015530184445748529,0.05637426900584795,0.01
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014862087621242972,0.012214932864097416,0.08352548036758563,0.12789473684210526,,,0.014862087621242972,0.012214932864097416,0.08352548036758563,0.12789473684210526
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015088807289555303,0.015623973721801382,0.03181286549707602,0.06789473684210526,0.031796157059314954,0.06789473684210526,0.015088807289555303,0.015623973721801382,0.03181286549707602,0.06789473684210526
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01466627703556007,0.012407179244904384,0.09908939014202173,0.10052631578947369,,,0.01466627703556007,0.012407179244904384,0.09908939014202173,0.10052631578947369
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014906115481778268,0.012007219244989901,0.07342522974101921,0.13842105263157894,0.05920634920634921,0.13842105263157894,0.014906115481778268,0.012007219244989901,0.07342522974101921,0.13842105263157894
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014567344744359072,0.012125898721269764,0.10312447786131997,0.1736842105263158,,,0.014567344744359072,0.012125898721269764,0.10312447786131997,0.1736842105263158
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015056132199723203,0.014501069827812546,0.05683375104427736,0.01368421052631579,0.05196324143692565,0.01368421052631579,0.015056132199723203,0.014501069827812546,0.05683375104427736,0.01368421052631579
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014680242686315317,0.017285139717716953,0.10123642439431912,0.13315789473684211,,,0.014680242686315317,0.017285139717716953,0.10123642439431912,0.13315789473684211
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014857533475360476,0.019892823686196236,0.06482873851294904,0.3547368421052632,0.05008354218880535,0.3547368421052632,0.014857533475360476,0.019892823686196236,0.06482873851294904,0.3547368421052632
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014419046600741128,0.019899089825614093,0.11058479532163742,0.08526315789473685,,,0.014419046600741128,0.019899089825614093,0.11058479532163742,0.08526315789473685
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014856641025340992,0.01597417968763652,0.06863826232247285,0.08578947368421053,0.05421888053467001,0.08,0.014856641025340992,0.01597417968763652,0.06863826232247285,0.08578947368421053
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014453904369367691,0.017586362091579447,0.10642439431913116,0.07789473684210527,,,0.014453904369367691,0.017586362091579447,0.10642439431913116,0.07789473684210527
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.01488127190005139,0.01652896391342222,0.052531328320802005,0.0,0.052389306599832916,0.0,0.01488127190005139,0.01652896391342222,0.052531328320802005,0.0
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014477162903893021,0.015037619790922272,0.10545530492898914,0.09789473684210526,,,0.014477162903893021,0.015037619790922272,0.10545530492898914,0.09789473684210526
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014968013138390997,0.015469025013902207,0.04711779448621554,0.09421052631578947,0.046466165413533836,0.08947368421052632,0.014968013138390997,0.015469025013902207,0.04711779448621554,0.09421052631578947
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01459124770328359,0.018445050081932833,0.09789473684210526,0.10842105263157895,,,0.01459124770328359,0.018445050081932833,0.09789473684210526,0.10842105263157895
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014886391926438472,0.01859255526124629,0.05998329156223893,0.13,0.05523809523809524,0.12947368421052632,0.014886391926438472,0.01859255526124629,0.05998329156223893,0.13
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014659112999324563,0.015678995164885894,0.09951545530492899,0.12105263157894737,,,0.014659112999324563,0.015678995164885894,0.09951545530492899,0.12105263157894737
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015041770252120635,0.017549176411059426,0.037410192147034255,0.03315789473684211,0.03636591478696742,0.03315789473684211,0.015041770252120635,0.017549176411059426,0.037410192147034255,0.03315789473684211
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014664634381969287,0.010804164728704466,0.09677527151211361,0.06736842105263158,,,0.014664634381969287,0.010804164728704466,0.09677527151211361,0.06736842105263158
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015075238715531774,0.012437427030535117,0.05540517961570593,0.002105263157894737,0.04142021720969089,0.002105263157894737,0.015075238715531774,0.012437427030535117,0.05540517961570593,0.002105263157894737
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014667264236422515,0.010139158654231185,0.0987719298245614,0.12526315789473685,,,0.014667264236422515,0.010139158654231185,0.0987719298245614,0.12526315789473685
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014944230534519213,0.011896704097402993,0.05680868838763575,0.034736842105263156,0.05680868838763575,0.034736842105263156,0.014944230534519213,0.011896704097402993,0.05680868838763575,0.034736842105263156
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.0145148238016689,0.016065825631865687,0.11262322472848789,0.05842105263157895,,,0.0145148238016689,0.016065825631865687,0.11262322472848789,0.05842105263157895
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014765242289225605,0.013676412344906047,0.09228070175438596,0.1463157894736842,0.07689223057644111,0.13578947368421052,0.014765242289225605,0.013676412344906047,0.09228070175438596,0.1463157894736842
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014550004729870685,0.015409052681622577,0.097953216374269,0.12368421052631579,,,0.014550004729870685,0.015409052681622577,0.097953216374269,0.12368421052631579
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014868145733764536,0.016582529415018164,0.066265664160401,0.006842105263157895,0.05218880534670008,0.006842105263157895,0.014868145733764536,0.016582529415018164,0.066265664160401,0.006842105263157895
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014651765912762026,0.012070544513111427,0.09969089390142022,0.12631578947368421,,,0.014651765912762026,0.012070544513111427,0.09969089390142022,0.12631578947368421
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015076935548550855,0.013480063421764896,0.042155388471177946,0.020526315789473684,0.04170426065162907,0.020526315789473684,0.015076935548550855,0.013480063421764896,0.042155388471177946,0.020526315789473684
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014700684379897534,0.011260266107419129,0.09524644945697577,0.15789473684210525,,,0.014700684379897534,0.011260266107419129,0.09524644945697577,0.15789473684210525
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015097157396133267,0.012086908732368715,0.04298245614035088,0.05842105263157895,0.04258145363408521,0.05842105263157895,0.015097157396133267,0.012086908732368715,0.04298245614035088,0.05842105263157895
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014624786597321653,0.013629805062255064,0.09641604010025062,0.18,,,0.014624786597321653,0.013629805062255064,0.09641604010025062,0.18
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014974268889252428,0.016974626096777398,0.07057644110275689,0.04,0.04907268170426065,0.038421052631578946,0.014974268889252428,0.016974626096777398,0.07057644110275689,0.04
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014670807884775594,0.014534178071907381,0.09778613199665831,0.2431578947368421,,,0.014670807884775594,0.014534178071907381,0.09778613199665831,0.2431578947368421
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014929972696023239,0.016859937056029808,0.06196324143692565,0.28,0.06142857142857143,0.27842105263157896,0.014929972696023239,0.016859937056029808,0.06196324143692565,0.28
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.0145518558663647,0.014038043579527199,0.09590643274853801,0.19894736842105262,,,0.0145518558663647,0.014038043579527199,0.09590643274853801,0.19894736842105262
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014975399451043314,0.01399360142397674,0.05848788638262323,0.25842105263157894,0.058379281537176274,0.25842105263157894,0.014975399451043314,0.01399360142397674,0.05848788638262323,0.25842105263157894
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014574182938587137,0.01772971435286277,0.09870509607351713,0.24,,,0.014574182938587137,0.01772971435286277,0.09870509607351713,0.24
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014786762065421243,0.015385896726294387,0.05743525480367585,0.3831578947368421,0.05609857978279031,0.3831578947368421,0.014786762065421243,0.015385896726294387,0.05743525480367585,0.3831578947368421
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014667986467854315,0.012031790720470994,0.09791144527986634,0.12947368421052632,,,0.014667986467854315,0.012031790720470994,0.09791144527986634,0.12947368421052632
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015086720884498271,0.013226110404928154,0.04230576441102757,0.11526315789473685,0.042297410192147035,0.11526315789473685,0.015086720884498271,0.013226110404928154,0.04230576441102757,0.11526315789473685
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014690109332571559,0.01345785225477702,0.09246449456975772,0.1031578947368421,,,0.014690109332571559,0.01345785225477702,0.09246449456975772,0.1031578947368421
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015028678663053489,0.017033244029692748,0.04929824561403509,0.06789473684210526,0.04818713450292398,0.06789473684210526,0.015028678663053489,0.017033244029692748,0.04929824561403509,0.06789473684210526
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01468110831435771,0.011958426829611617,0.09911445279866332,0.11210526315789474,,,0.01468110831435771,0.011958426829611617,0.09911445279866332,0.11210526315789474
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015022972452744207,0.012498799703735108,0.05726817042606516,0.007894736842105263,0.05578947368421053,0.006842105263157895,0.015022972452744207,0.012498799703735108,0.05726817042606516,0.007894736842105263
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014612253103092093,0.012799557207451516,0.10777777777777778,0.14,,,0.014612253103092093,0.012799557207451516,0.10777777777777778,0.14
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014979386554065314,0.010398491539010077,0.05407685881370092,0.28421052631578947,0.05407685881370092,0.28421052631578947,0.014979386554065314,0.010398491539010077,0.05407685881370092,0.28421052631578947
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.01459819277044893,0.012294999779219771,0.10703425229741019,0.2094736842105263,,,0.01459819277044893,0.012294999779219771,0.10703425229741019,0.2094736842105263
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014972070025955669,0.011037285135620929,0.05314118629908104,0.22473684210526315,0.05287385129490393,0.22421052631578947,0.014972070025955669,0.011037285135620929,0.05314118629908104,0.22473684210526315
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014638886957610436,0.012927072626143433,0.1031328320802005,0.13421052631578947,,,0.014638886957610436,0.012927072626143433,0.1031328320802005,0.13421052631578947
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014978788027051422,0.012899890407417278,0.06380116959064328,0.16263157894736843,0.050484544695071014,0.16263157894736843,0.014978788027051422,0.012899890407417278,0.06380116959064328,0.16263157894736843
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014584640889490836,0.014448529455957544,0.09998329156223892,0.11368421052631579,,,0.014584640889490836,0.014448529455957544,0.09998329156223892,0.11368421052631579
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014961850431861226,0.017795606463513625,0.05325814536340852,0.016842105263157894,0.05325814536340852,0.016842105263157894,0.014961850431861226,0.017795606463513625,0.05325814536340852,0.016842105263157894
64,8,64,1,1,,2000,1.05,100,0.9,,,,,0.014701599681386299,0.01717425796556906,0.09784461152882205,0.12842105263157894,,,0.014701599681386299,0.01717425796556906,0.09784461152882205,0.12842105263157894
64,8,8,1,2,1.0,2000,1.05,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015012380711667508,0.020591781742277108,0.05552213868003342,0.018947368421052633,0.041888053467000835,0.017368421052631578,0.015012380711667508,0.020591781742277108,0.05552213868003342,0.018947368421052633
