players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0011491044013383878,,0.011625,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001021770303158232,,0.001875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0011596520612191612,,0.0155,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010112073735383707,,0.0,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0012200952120171831,,0.01125,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010250803630593628,,0.00175,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010398392312708673,,0.010375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010642626648925597,,0.0010625,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0012315614523147854,,0.0138125,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0011747325936386128,,0.0025625,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010288120370155224,,0.0075,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0013166164093637914,,0.0244375,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0009932020199211423,,0.0044375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0011338917970627983,,0.0046875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0012535130307380449,,0.012375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010603482834780783,,0.0021875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.001324505696405302,,0.0198125,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.00124900940577816,,0.0,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.000983157498358838,,0.0069375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0009446688944607766,,0.0014375,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.001090335323595678,,0.0103125,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0011449046334153193,,0.0016875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0011107065438787844,,0.009375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0011333762176312457,,0.006125,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.001081386809385111,,0.0080625,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001106846353303717,,0.000125,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.000992373083676481,,0.01025,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0009086499647127735,,0.0001875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0011691495043293734,,0.0084375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001133891609076767,,0.000375,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.001139693608457298,,0.0149375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010731711286941748,,0.0010625,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010902423441671305,,0.011875,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001018182758884009,,0.0005625,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010959491529946067,,0.0185,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0009447008444566926,,0.00025,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.001106595171527788,,0.0101875,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.00125831117505527,,0.0176875,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010291658749977568,,0.0143125,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001013081144303592,,0.000125,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0010959513723731774,,0.013375,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.0010606549481335717,,0.00025,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0012065571395442794,,0.0110625,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.001083747518918745,,0.0,
32,8,32,0,1,,500,1.1,100,0.97,,,,,0.0011747821122710944,,0.00825,
32,8,16,0,2,1.0,500,1.1,100,0.97,266.0,0.9792868137050521,266.0,0.9792868137050521,0.000981284499587052,,0.000375,
