players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00028102568794680305,0.00021827270311595092,0.01064516129032258,0.034,0.00026758263637771944,0.00023015375760594098,0.01021505376344086,0.03333333333333333
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003265659891188117,0.0005004171395944872,0.0,0.0,0.00032260053543307996,0.0005410034187655,0.0,0.0
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00034959893084455433,0.00035865674034193116,0.011725806451612903,0.055,0.00036274253408874306,0.0003985074892688124,0.011881720430107526,0.055
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002690504730608256,0.0010412501726072931,0.0005967741935483871,0.0,0.0002616604367149838,0.0011569446362303256,0.0006451612903225806,0.0
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.000296128702888427,0.0004774975790427713,0.013516129032258064,0.066,0.0002982788345242668,0.0005305528656030792,0.0142831541218638,0.07333333333333333
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003322711094761423,0.0010084199759404769,0.0010161290322580644,0.0035,0.00033776924528400586,0.0011204666399338631,0.0011290322580645162,0.0038888888888888888
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00035192312150730197,3.156113470044014e-05,0.018225806451612904,0.0775,0.00034170437852477925,3.239993425842765e-05,0.01903225806451613,0.08222222222222222
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00035837232576565217,5.162869724222918e-06,0.01014516129032258,0.0755,0.00035685683614768057,3.068528729297403e-06,0.011218637992831541,0.08277777777777778
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00039101995173611683,0.000512976753092226,0.013032258064516128,0.0575,0.000361156819746923,0.0005406276213484746,0.013387096774193549,0.06111111111111111
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003257199304658852,0.0016056180835545325,0.0037903225806451613,0.033,0.0003299650266867179,0.0017546735440843707,0.004121863799283154,0.03666666666666667
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00039931364551034336,0.0003763381495906952,0.012725806451612903,0.045,0.0003958082284121016,0.00041736615249149026,0.013261648745519713,0.05
64,8,8,2,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003275902544488922,0.001357360530311648,0.0004032258064516129,0.0,0.0003265737947865051,0.0015073910199592156,0.00034050179211469534,0.0
64,8,64,2,1,,1000,1.2,100,0.97,,,,,0.00036779190537838166,0.000950463752301125,0.009919354838709678,0.05,0.0003656779523369397,0.0010560708358901389,0.010179211469534051,0.05555555555555555
