players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002707153231833927,0.00019655980354334266,0.0035941043083900226,0.029285714285714286,0.0002689409350947527,0.0002708830882983084,0.004310909549004787,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025021129600422175,0.0008720532279845211,0.000764172335600907,0.0,0.0002598527855664827,0.0002679226274204045,0.0001763668430335097,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00030094805231928936,0.0004847603670573565,0.005020408163265306,0.040857142857142856,0.0002993593725565833,0.0004815412069398322,0.00582514487276392,0.002380952380952381
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00024869625787706987,0.0027730278369313653,0.0017052154195011339,0.004142857142857143,0.0002895184584735251,0.00020233833485023745,0.0009775762156714538,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00027468829944074416,0.0004890730246978997,0.004723356009070295,0.03728571428571428,0.00028328332508270024,0.0002358189737559519,0.005568153187200806,0.0004761904761904762
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002479206327868107,0.0007930081936620697,2.2675736961451247e-06,0.0,0.00025489503765546657,0.00023296435608504182,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00029892671133684384,0.0013610674356577996,0.006029478458049887,0.08742857142857142,0.0003256546756751742,0.0002122884304995277,0.007901234567901235,0.0006349206349206349
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00028636434900935754,0.0022125072187645675,4.535147392290249e-06,0.0,0.0003220131766378,0.00022572837214134806,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002715781522817569,0.0002239674051194911,0.0035895691609977324,0.03014285714285714,0.0002746442039244693,0.00021566648967616815,0.004293272864701436,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002649560241181293,0.0002986159140571471,0.0017777777777777779,0.0,0.0002667931995037251,0.00022951335100115822,0.0019753086419753087,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00030351752122832027,0.00019751309957860582,0.006013605442176871,0.014714285714285714,0.0003067243530206887,0.00023266400337709306,0.0067926429831191735,0.00015873015873015873
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002514029022975047,0.0002549972150426272,0.0003015873015873016,0.0,0.0002494750829185815,0.0002405007965008779,0.00033509700176366844,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002914750030679814,0.0009129320238282375,0.0066916099773242635,0.09157142857142857,0.00030850136133944505,0.0003427464287415103,0.008395061728395062,0.030317460317460316
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025707047569122727,0.0017180817768200861,2.2675736961451247e-06,0.0,0.00028361832221676875,0.0002288815383964048,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002681275159779896,0.001221634637773353,0.00327437641723356,0.07514285714285714,0.00027889631969439134,0.00032554284017757894,0.004298311917359536,0.016666666666666666
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025330683687879127,0.0011043833002935418,0.0,0.0,0.00026748643561755705,0.0002231820694889505,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002614581139405326,0.0005755698694895912,0.003777777777777778,0.06928571428571428,0.0002692643693394724,0.00022680085854572086,0.00526832955404384,0.003968253968253968
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002741110486878231,0.0019838430017075337,0.0004399092970521542,0.0,0.00030804225382520116,0.00023516882877284574,0.0004812295288485765,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002752061721151998,0.00025415993899629793,0.004047619047619047,0.07671428571428572,0.00027741437998325517,0.00024110728892420672,0.005353993449231545,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002555695087370686,0.00104281762938612,0.00010657596371882087,0.0,0.00026629722981444035,0.00023190426224157246,5.0390526581002774e-06,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002719893438259821,0.0014962658215757155,0.004340136054421769,0.13242857142857142,0.0002863897674953053,0.0002727652179862753,0.006140085663895188,0.0020634920634920637
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0003301736686828177,0.00045483940261414776,0.01272562358276644,0.10285714285714286,0.0003406591150232059,0.00035641268588937624,0.01563114134542706,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00027463196803834193,0.0008304345374417735,0.004065759637188209,0.06414285714285714,0.000282036603223437,0.0002273810094019679,0.0049130763416477706,0.016984126984126983
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002587529480599229,0.0010344092388167865,7.482993197278911e-05,0.0,0.00027382951442453586,0.00023591551061815486,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00027147104911484513,0.0006360395613986179,0.0042131519274376415,0.089,0.00027944602177377666,0.00022167623625150284,0.005147392290249433,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002732800370533209,0.0013989419807821722,0.0,0.0,0.0002904789641512271,0.00022167623625150284,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00029283535229972577,0.0008172833576886214,0.004850340136054422,0.10171428571428572,0.0002998864232034223,0.00024398860866168588,0.0064147140337616525,0.0006349206349206349
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025107451632028747,0.003455337137667506,3.1746031746031745e-05,0.00042857142857142855,0.0003045834671474734,0.0002619782605051418,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002693837863171433,0.0006142514053412036,0.004498866213151927,0.057,0.00027870436956030115,0.00025670803915893214,0.0055177626606198035,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025363443132696024,0.0026765349736952884,9.070294784580499e-06,0.0,0.0002979884759678553,0.0002575880531921878,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.00026119229119215805,0.00046299698896312035,0.002206349206349206,0.040285714285714286,0.00026588272150290175,0.00034097767267865454,0.0028949357520786094,0.007142857142857143
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002566639679827986,0.0016070612379623214,0.0,0.0,0.00028171853185156965,0.0003084650399191603,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002989930935830368,0.0005460394428495787,0.0062993197278911565,0.07171428571428572,0.0003042474337325787,0.0004891862870249607,0.007523305618543714,0.015396825396825397
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002826019177655367,0.0016886543457277027,0.00015192743764172337,0.0,0.0003087726760334405,0.0003393936584216983,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002799552868279366,0.00026775437229337233,0.0053582766439909295,0.013714285714285714,0.0002829304640716422,0.0002790477103085178,0.0060418241370622325,0.0012698412698412698
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.0002614913641790572,0.0010723219083119948,2.0408163265306123e-05,0.00014285714285714287,0.00027442858311944575,0.00025963673622187203,0.0,0.0
64,8,64,1,1,,7000,1.1,700,0.9849482746536519,,,,,0.0002625840241839663,0.00044808934188677934,0.0027868480725623582,0.07985714285714286,0.0002677051905802093,0.0002169805034946755,0.004394053917863442,0.0
64,8,8,1,2,1.0,7000,1.1,700,0.9849482746536519,2800.0,0.9908140686857235,2800.0,0.9908140686857235,0.00025125686556864984,0.002707361641009052,4.535147392290249e-06,0.0,0.00029502775200722896,0.00021429025676189962,0.0,0.0
