FNTotalDishonest,FNTotalDishonest_HL,FNTotalHonest,FNTotalHonest_HL,QPQ2HL0,QPQ2HL1,QPQ2TH0,QPQ2TH1,QPQHL,QPQTH,QPQversion,UtilityDishonest,UtilityDishonest_HL,UtilityHonest,UtilityHonest_HL,alpha,betafactor,clusters,numliars,playerperclusters,players,rounds
0.06428571428571428,0.008888888888888889,0.01724561403508772,0.02538011695906433,,,,,100,0.97,1,0.0008739671719161307,0.0005959159404075744,0.00040944726096557804,0.0004547767616234399,,1.2,8,7,64,64,1000
0.004857142857142857,0.0,0.002631578947368421,0.0035867446393762184,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008619462406055362,0.0003979711028512672,0.0003281187909891508,0.00040164926358015376,1.0,1.2,8,7,8,64,1000
0.06314285714285714,0.016666666666666666,0.014403508771929825,0.021228070175438596,,,,,100,0.97,1,0.0008366211201377872,0.0003372848102109231,0.00042199782564631316,0.000505900631977415,,1.2,8,7,64,64,1000
0.00042857142857142855,0.0077777777777777776,0.0012631578947368421,0.00033138401559454193,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011474215064948845,0.00037299388994001297,0.0003143809218052781,0.0004209445552618328,1.0,1.2,8,7,8,64,1000
0.04928571428571429,0.012063492063492064,0.011140350877192982,0.016120857699805067,,,,,100,0.97,1,0.0007783539816077319,0.00025186139176966064,0.0003387445316146713,0.00040733177689532377,,1.2,8,7,64,64,1000
0.025285714285714286,0.0,0.012789473684210526,0.01760233918128655,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0014967250552291838,0.0005874036922649637,0.00032756756032973125,0.000469880098805682,1.0,1.2,8,7,8,64,1000
0.055714285714285716,0.012698412698412698,0.013982456140350877,0.019941520467836257,,,,,100,0.97,1,0.0005283945497864745,0.0004750958420368036,0.00040628003627410955,0.00041926441175317325,,1.2,8,7,64,64,1000
0.042,0.0,0.011245614035087718,0.017543859649122806,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0007613190714757135,0.0005215223209205061,0.000364911263344036,0.0004085033659186834,1.0,1.2,8,7,8,64,1000
0.054857142857142854,0.017619047619047618,0.013929824561403509,0.019707602339181285,,,,,100,0.97,1,0.0006788617747076867,0.00027190002826664553,0.0003619965138802572,0.00041848292789975407,,1.2,8,7,64,64,1000
0.0008571428571428571,0.0,0.009473684210526316,0.010253411306042884,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0014143390188630029,0.0002478257915165672,0.0003192693574260196,0.00047550063308259086,1.0,1.2,8,7,8,64,1000
0.06571428571428571,0.009365079365079364,0.010403508771929824,0.017543859649122806,,,,,100,0.97,1,0.0008113390737326416,0.000277373659310823,0.0003403362378366222,0.00040415947188948334,,1.2,8,7,64,64,1000
0.027285714285714285,0.0,0.011263157894736841,0.015614035087719299,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0015238934853975255,0.00030852218800338325,0.0003427369324637579,0.0004998184203897203,1.0,1.2,8,7,8,64,1000
0.052142857142857144,0.0173015873015873,0.010263157894736842,0.014678362573099416,,,,,100,0.97,1,0.0007429611603861577,0.00026673971521786843,0.0003042011907411682,0.00036039581703585196,,1.2,8,7,64,64,1000
0.0034285714285714284,0.0,0.0037368421052631578,0.004561403508771929,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0013336077993044717,0.0006691722102302548,0.00031398336622872784,0.00041776862920636805,1.0,1.2,8,7,8,64,1000
0.05728571428571429,0.02666666666666667,0.010491228070175438,0.014502923976608188,,,,,100,0.97,1,0.0006304790999622011,0.0003833313023828237,0.00033255339398141295,0.0003827745717828583,,1.2,8,7,64,64,1000
0.0,0.0,7.017543859649122e-05,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0015524822749210766,0.00024488824681388884,0.0002754401798058791,0.00046313895359367737,1.0,1.2,8,7,8,64,1000
0.05114285714285714,0.014444444444444444,0.013859649122807018,0.018869395711500973,,,,,100,0.97,1,0.0004983144625920297,0.0003016488152210575,0.0004049697435921989,0.00041967724479261367,,1.2,8,7,64,64,1000
0.004,0.032857142857142856,0.00431578947368421,0.00101364522417154,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009538257984048413,0.0004544854412679844,0.0003237389307771899,0.00038154934489829126,1.0,1.2,8,7,8,64,1000
0.06485714285714286,0.04047619047619048,0.015280701754385964,0.018927875243664717,,,,,100,0.97,1,0.000694299508065533,0.0008863582375180149,0.0004004571264425631,0.0003675660692873446,,1.2,8,7,64,64,1000
0.016142857142857143,0.0,0.008964912280701754,0.012163742690058479,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0015864411314878326,0.0006903871809488904,0.0003976972004301057,0.0005414983428328456,1.0,1.2,8,7,8,64,1000
0.05071428571428571,0.02,0.01531578947368421,0.020682261208576996,,,,,100,0.97,1,0.0008313511627514107,0.00018541486830015615,0.00038102402684335115,0.0004723758553464199,,1.2,8,7,64,64,1000
0.0,0.0,5.2631578947368424e-05,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008267930456296149,0.00019535898017580364,0.00034055540841481394,0.0004350133271828252,1.0,1.2,8,7,8,64,1000
0.08185714285714285,0.02396825396825397,0.01568421052631579,0.024502923976608186,,,,,100,0.97,1,0.0008446114880355722,0.00040557713450781234,0.0003703214731069913,0.000433534765736381,,1.2,8,7,64,64,1000
0.004142857142857143,0.0,0.0029649122807017545,0.002943469785575049,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0021788886054582607,0.0006265934575018712,0.0003349867956634354,0.0005456151844776779,1.0,1.2,8,7,8,64,1000
0.06042857142857143,0.023174603174603174,0.010771929824561403,0.01608187134502924,,,,,100,0.97,1,0.0007833172117356251,0.0005572712639854313,0.00036726012858160636,0.0003967917435389483,,1.2,8,7,64,64,1000
0.005285714285714286,0.0,0.002245614035087719,0.002787524366471735,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0013655437977460412,0.0006187089647282602,0.00030994982399065187,0.000408845804957149,1.0,1.2,8,7,8,64,1000
0.073,0.032857142857142856,0.011122807017543859,0.016900584795321638,,,,,100,0.97,1,0.0008000409381614905,0.0005012809940242355,0.00035602615720817016,0.00040463171424961336,,1.2,8,7,64,64,1000
0.0,0.0,0.0003508771929824561,9.746588693957115e-05,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.00231209034501009,0.000856550211380804,0.00026818121547074486,0.0004693282799654822,1.0,1.2,8,7,8,64,1000
0.075,0.037936507936507935,0.009824561403508772,0.015419103313840155,,,,,100,0.97,1,0.0007063984474803769,0.0005800542927296524,0.00038659709094281835,0.0004035762203262304,,1.2,8,7,64,64,1000
0.0007142857142857143,0.0,0.005087719298245614,0.005633528265107213,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0016778588565199287,0.000850924352715994,0.0003211890164107096,0.0004473204026456356,1.0,1.2,8,7,8,64,1000
0.04857142857142857,0.02095238095238095,0.012771929824561403,0.016062378167641327,,,,,100,0.97,1,0.00022803206092256932,0.00036517140207287637,0.0004159242906433886,0.0004157475280456842,,1.2,8,7,64,64,1000
0.00028571428571428574,0.0,0.00036842105263157896,0.0004483430799220273,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.001466073870240276,0.0005597510384095577,0.0002987866803005739,0.0004307818672236588,1.0,1.2,8,7,8,64,1000
0.09,0.013333333333333334,0.013385964912280703,0.024502923976608186,,,,,100,0.97,1,0.0010692712621238139,0.00033544295003911,0.00031837772540901753,0.00041129804713886816,,1.2,8,7,64,64,1000
0.0037142857142857142,0.03365079365079365,0.008228070175438596,0.003957115009746589,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0010934945941643603,0.0003130258945966583,0.00029034693519524826,0.00039393265801699224,1.0,1.2,8,7,8,64,1000
0.04585714285714286,0.023333333333333334,0.013771929824561404,0.01746588693957115,,,,,100,0.97,1,0.00025180063126162077,0.0006162785026045418,0.0004349803466358837,0.0003992209023215525,,1.2,8,7,64,64,1000
0.0024285714285714284,0.0,0.01424561403508772,0.016140350877192983,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011653411901909549,0.00037797420335342866,0.00033938969880027264,0.00045483181533302006,1.0,1.2,8,7,8,64,1000
0.06157142857142857,0.04206349206349207,0.009157894736842104,0.011734892787524367,,,,,100,0.97,1,0.0005362542114709377,0.00044103248077617967,0.0003659117459126551,0.0003617335281954314,,1.2,8,7,64,64,1000
0.0,0.0,0.0,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009345966179804609,0.0009089805094725547,0.00028976743901583515,0.00029361335735092605,1.0,1.2,8,7,8,64,1000
0.03485714285714286,0.007142857142857143,0.010298245614035088,0.014346978557504874,,,,,100,0.97,1,0.00030869693157884625,0.0002554493749976592,0.00038447554290629984,0.000382713683241162,,1.2,8,7,64,64,1000
0.001,0.0,0.0014385964912280703,0.0015009746588693956,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0014895451554805368,0.00047683723442599335,0.00032523612697242017,0.00047499148039332404,1.0,1.2,8,7,8,64,1000
0.08071428571428571,0.028412698412698414,0.011894736842105263,0.0197270955165692,,,,,100,0.97,1,0.0005890292568899726,0.0006525817709014464,0.00038004659651676273,0.000392932353525187,,1.2,8,7,64,64,1000
0.00028571428571428574,0.0,0.013017543859649122,0.014483430799220274,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011666481544956833,0.0002649624236715214,0.0003179262664514799,0.00045048685279713596,1.0,1.2,8,7,8,64,1000
0.05128571428571429,0.01984126984126984,0.01087719298245614,0.015321637426900585,,,,,100,0.97,1,0.0007207660447517948,0.00041279179528434486,0.0003433494726674841,0.00038591422202975255,,1.2,8,7,64,64,1000
0.0,0.0,0.0,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008734140154504793,0.0003808621293159546,0.0002657314356420168,0.00033406619361589886,1.0,1.2,8,7,8,64,1000
0.047142857142857146,0.023333333333333334,0.01463157894736842,0.018518518518518517,,,,,100,0.97,1,0.0005633665307277454,0.00040916891252683714,0.00037915588943402274,0.0004115868466157809,,1.2,8,7,64,64,1000
0.06328571428571429,0.0,0.02156140350877193,0.032553606237816765,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.000651269693169214,0.0004787827060169738,0.0004243521181514937,0.0004553081803842628,1.0,1.2,8,7,8,64,1000
0.07057142857142858,0.026349206349206348,0.00936842105263158,0.01621832358674464,,,,,100,0.97,1,0.0008084002314977128,0.0005632557224201769,0.000386567844846081,0.0004423165010189376,,1.2,8,7,64,64,1000
0.019428571428571427,0.10222222222222223,0.010140350877192983,0.0012475633528265108,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008788694924833323,0.00026029019423578494,0.0003386502323591582,0.0004204170966110168,1.0,1.2,8,7,8,64,1000
0.07,0.005555555555555556,0.015526315789473685,0.024619883040935674,,,,,100,0.97,1,0.000465533630020226,0.00036498325474078027,0.0004317389273899785,0.0004663507439470038,,1.2,8,7,64,64,1000
0.001142857142857143,0.0,0.0043859649122807015,0.003235867446393762,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011817041901249327,0.0002826950543499285,0.0002961809605421084,0.00041735537379124015,1.0,1.2,8,7,8,64,1000
0.05671428571428572,0.008412698412698413,0.011315789473684211,0.016978557504873294,,,,,100,0.97,1,0.0006034278334605173,0.0004064858842449645,0.0003349881695241169,0.0003532340757347776,,1.2,8,7,64,64,1000
0.003142857142857143,0.0014285714285714286,0.0018070175438596491,0.0009746588693957114,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008535608951090554,0.0002769194345209335,0.0003334859598753144,0.00040988723100587854,1.0,1.2,8,7,8,64,1000
